term	estimate	std.error	statistic	p.value	conf.low	conf.high
OLD	1.9132739252779272	0.1688742586804143	3.8420057428815113	1.2203298027358819e-4	1.374140447764564	2.663932292440309
SEXF	0.5498185607887914	0.17794069107560753	-3.361608528326356	7.74898980803665e-4	0.38793235763539213	0.7792607237779906
ISS1	0.47003907564825614	0.2568583193438607	-2.9391278818037927	0.0032913723963260795	0.28411604841613464	0.7776284862045838
ISS3	1.8089554372439947	0.17958636678838838	3.300637920311107	9.646528731214642e-4	1.2722242686047414	2.5721249426591988
HB_m_105	1.0814344569365169	0.18719345568770296	0.41822167573725555	0.6757850492287037	0.7493088200975317	1.5607723455028253
PLT_m_150	1.9624066792121864	0.17841922933059653	3.7785816028877597	1.5772416871412905e-4	1.3833060934693011	2.78393913884835
MMrisk_class_t_CCND21q&13+_pure	1.6289686043783247	0.2525645194656303	1.9319699280211096	0.053363217687788664	0.9929546303743213	2.672366523987046
MMrisk_class_t_CCND2del 13q only	1.0616006071735045	0.23230284467855944	0.2573269219337234	0.796926411333852	0.6733248117858993	1.6737773945415073
MMrisk_class_t_CCND2gain 1q only 	1.190483040492806	0.2576045257662642	0.6768481284384892	0.4985023181774619	0.718538169062188	1.9724072160992407
MMrisk_class_t_CCND2t&1q&13+	2.0422602069412776	0.2986819413851942	2.390694046670464	0.016816560005747095	1.137293470736014	3.6673267368330404
SeqFISH_Del_1p_CDKN2C	2.1382160421270195	0.20702903176431478	3.670846787642538	2.4174822657709583e-4	1.4250436006337814	3.208300322022411
SeqFISH_Del_TP53	1.7267448798408471	0.23467850577886082	2.3276015925260847	0.019933268811696995	1.0901078589495943	2.735186115371773
HyperDiploidy	1.0871171968952287	0.20844005077886724	0.40073593748453173	0.6886145490017056	0.7225233267886406	1.6356894732217522
SeqFISH_T_4_14_pure	0.9139181220523207	0.416459677822326	-0.21614167789551503	0.8288773131866546	0.4040323770233318	2.0672757464865428
SeqFISH_T_14_16_pure	1.699676938516097	0.5349712240510637	0.9915265961770261	0.32142851213161555	0.5956594695208479	4.849921546025789
SeqFISH_T_14_20_pure	2.61751474626602	0.6119231445234575	1.5724610289377559	0.1158436703221001	0.788895015569465	8.684784808754792
SeqFISH_T_11_14	1.199741487738687	0.27055506564451565	0.6730833380184915	0.5008942734800004	0.7059773827292624	2.038846672165177
SeqFISH_T_6_14	1.1055342668129549	1.019164225599473	0.09844214993003754	0.9215812063946343	0.14998852932046874	8.148663238681845
