term	estimate	std.error	statistic	p.value	conf.low	conf.high
OLD	1.4552148701679608	0.11087348046683464	3.383618564439929	7.153731236355916e-4	1.170985308305152	1.808434575001608
SEXF	0.6991464404408422	0.11478348306074072	-3.118001381658822	0.0018208194997740353	0.5582956871891913	0.8755320100036114
ISS1	0.7261323837791874	0.1459544203521036	-2.192622417362762	0.028334594617521688	0.5454804346063179	0.9666125589882671
ISS3	1.3705032729463253	0.12914236158961837	2.440547168401177	0.014665030687644659	1.0640300652180121	1.7652501395923845
HB_m_105	1.3746248309544673	0.12704405079042586	2.504492274085988	0.012262728341211959	1.0716280987765356	1.7632921608101944
PLT_m_150	1.3554247718425727	0.13489586815421825	2.2544418455617574	0.024168385286784225	1.0405233905605336	1.7656271149606708
MMrisk_class_t_CCND21q&13+_pure	1.4484254423820802	0.17143180678060055	2.1610754244842143	0.030689513601864064	1.0350781152220943	2.026838584728048
MMrisk_class_t_CCND2del 13q only	1.355924479904565	0.14841616475424801	2.0515521013882103	0.040213211255992955	1.0136859640354026	1.8137088412326638
MMrisk_class_t_CCND2gain 1q only 	1.0735063124535047	0.17589424921113486	0.4032549039681639	0.6867607130896357	0.7604718561766649	1.5153957290035522
MMrisk_class_t_CCND2t&1q&13+	1.5555577215044605	0.2146127781999343	2.0587504079658276	0.03951815461010797	1.0214271630115492	2.3689988993417717
SeqFISH_Del_1p_CDKN2C	1.4568790933453821	0.1592296594334863	2.3632314596276873	0.01811635090238498	1.0663185864926685	1.9904901963757113
SeqFISH_Del_TP53	1.203943744565599	0.17968809008810702	1.032915547832397	0.3016434220649918	0.8465554597544096	1.7122097830414305
HyperDiploidy	1.0178657647564717	0.14350300456033574	0.12339844559851686	0.9017915879000298	0.7683171518731309	1.3484675079001174
SeqFISH_T_4_14_pure	0.7512449619192669	0.2586230285364524	-1.1059475292578727	0.2687492309648197	0.4525236188172138	1.2471591964286932
SeqFISH_T_14_16_pure	1.4813902501452343	0.3742863555474245	1.0499474512948155	0.2937422734359974	0.7113385716627072	3.085052829478683
SeqFISH_T_14_20_pure	1.3743839102580726	0.4717582459541689	0.6740858653085119	0.5002567252701583	0.5451885362656794	3.464730101837215
SeqFISH_T_11_14	1.1428764760116823	0.18018304373703645	0.7411813355010568	0.4585834986548726	0.80283668454508	1.6269394069368026
SeqFISH_T_6_14	0.5232971559998425	0.7183274897825603	-0.9015467312216361	0.3672976989470789	0.1280285735085768	2.138896856951847
