term	estimate	std.error	statistic	p.value	conf.low	conf.high
OLD	2.285407281652349	0.4162185965689203	1.9858417108221056	0.047050902673349035	1.010829004699085	5.167131551181049
SEXM	1.0948019607494641	0.20426257910027848	0.4434169466949456	0.6574641803908483	0.7336128738853154	1.6338199286402455
ISS1	0.8768697853376582	0.23722157937465554	-0.553898913245086	0.5796480289135675	0.5508225751018001	1.3959134124014556
ISS3	2.107605466716792	0.23651394163438408	3.152255837474013	0.001620142535902104	1.3257702956390152	3.350505602626647
HB_m_105	0.9137653397905094	0.22212307665133288	-0.4059977994460595	0.6847442172964169	0.5912391379371119	1.4122324498268886
PLT_m_150	2.1623720088878966	0.22439145020050796	3.4368768094405673	5.884631848421737e-4	1.3929260556741256	3.356856371359163
MMrisk_allclass1q&13+	1.9188513843681752	0.262175859373628	2.4858382128437366	0.01292467089814476	1.1478280767203244	3.2077893109324966
MMrisk_allclassdel 13q only	1.2024123729650336	0.26510180814118844	0.695317210093339	0.4868565311951244	0.7151520178096438	2.0216617986866097
MMrisk_allclassgain 1q only 	1.1251243412272252	0.3830678279154243	0.3077615672549429	0.7582637679144043	0.5310465529383244	2.3837924871513465
FISH_Del_17p	2.807377053142707	0.23174925056081125	4.454170237368585	8.421825968397112e-6	1.7825241646799226	4.421463716834066
FISH_Del_1p36	1.4633669371949511	0.2629980905381974	1.4476907466921354	0.1477035589684935	0.8739545706072146	2.450290741528452
HyperDiploidy	1.1177924874089213	0.2219513463548038	0.5017124193540448	0.6158698271293883	0.7234955394145439	1.7269768462137205
IgH_translocation_typet(11_14)	1.4571586744244116	0.3027743440378243	1.2434621148947453	0.2136975932510269	0.804979567733079	2.6377208659218683
IgH_translocation_typet(14_16)	1.9505501656446127	0.37929160432998094	1.761471810563644	0.07815858011256735	0.9274778046211729	4.102142315147076
IgH_translocation_typet(14_20)	9.120157443785834	0.4854369771903615	4.553602571242536	5.273494072044573e-6	3.5220671489053683	23.61603804893187
IgH_translocation_typet(4_14)	2.0552508033733443	0.25014060673288907	2.879971770068032	0.003977107801178135	1.2587652820985886	3.355713670243999
IgH_translocation_typet(6_14)	0.6514103961242851	1.0501617105228105	-0.40814231018885017	0.6831691989713929	0.08316783893290837	5.102158594274767
